text,label
kickers on my watchlist @stock tit @stock @stock @stock @stock @stock trade method @number or method @number see prev posts,2
@user @stock movie @number return for the @stock @stock indicator just @number trades for the year awesome,2
@user i d be afraid to short @stock they are looking like a near monopoly in ebooks and infrastructure as a service,2
@stock over @number @number,2
@stock over @number @number,2
@stock over @number @number,2
@stock @user if so then the current downtrend will break otherwise just a short term correction in med term downtrend,0
monday s relative weakness @stock win tie @stock @stock @stock @stock @stock @stock @stockhk @stock,0
@stock ower trend line channel test volume support,2
@stock will watch tomorrow for @stock entry,2
i m assuming @stock opens tomorrow above the @number @number trigger buy still very much like this setup,2
it really worries me how everyone expects the market to rally now usually exact opposite happens every time we shall see soon bac spx jpm,2
@stock @stock s arry haverty apple is extremely cheap great video,2
@user maykiljil posted that i agree that @stock is going higher possibly north of @number,2
momentum is coming back to @stock broke @stock@number resistance on solid volume friday ong set up,2
@stock hitting @number @number means resume targeting @number level,2
@user gameplan shot for today but i liked on trend break from may or c h break @stock weekly trend break back to july @number,2
with @stock gapping well above ideal entry looking for a pull in to at least @number on open for an entry,2
@user great list again particularly like @stock and @stock all buy hold types should check the free list out,2
@stock upper trend line,2
@stock nice @stock @stock breakout need follow thru,2
won t believe @stock uptrend is back until it crosses above @stock @number,0
@stock swing still on,2
@stock @number of float short and breaking out ouch,2
@stock wants @number @number s comin,2
@stock inverted head and shoulder play out well wasn t able to catch the entry eyes on it,2
red not ready for break out,0
@stock close to breaking out now my trigger is at @number @number,2
@user @stock for a quick trade to late but for investing @number @number is a good entry point @stock,2
@stock ong @number @number trailing stop @number @number from @number prior stops of @number @number @number @number @number @number @number @number @number @number @number @number,2
@stock @stock today is impressive at this rate and well probably get to @numberm shares traded today,2
@user been adding @stock long off the bottom today for trade also got @stock near low,0
i repeat if global economy is going to get better this year go with @stock instead of ba@stock,2
@stock go @stock on close above @number,2
@stock looking like a good short failed to break price level resistance at @number today,0
@stock like the price action so far holding above @number still deciding whether to go @stock calls or stocks,2
@stock buy when it clears resistance at @number @number,2
here is new up target for @stock and notice shakeout reading at @number @number and we had buy dot monday,2
too early to short into this move stock market needs a few days to settle down patience @stock @stock @stock @stock @stock,0
@stock obbers hit apple store in paris prefer to take merchendise over cash bullish,2
@stock here is my tip of the day buy now you do not even have to sign up for a newsletter or anything @stock if i m wrong i will eat crow,2
@stock out the @number @number due to the move today and the kirby on the daily around @number @number still swinging @number @number,2
@stock @number min short won now longs have fully added in look for a pop here with market shakeout reset,2
@stock stellar move still long swing full position i believe @user @user in it @number,2
@stock tade @stock @stock @stock @stock,2
@stock @numbersma acting as a good support short term momentum indicators have switched to the upside,2
new @stock @stock is at @number month highs but showing signs of stress,2
c two daily bull flags on top of each other bullish still,2
@stock traditional and at point and figure bullish @stock signals multiyear high,2
jpm closed @numbersma on monday u know my rules large cup n handle still bullish,2
@stock ascending triangle original target @number extension @stock feb @numberth @number @number position swing,2
aapl daily broke downtrend from closing prices now w v pattern back in play @number target,2
@stock pultegroup option bear bets @number @number million on @number down move by april,0
@stock in a @number @number for a trade,2
short setups displaying relative weakness @stock @stock @stock @stock @stock @stock @stock p prepare to short the stall es f,0
when @stock monetize all electronics it makes with traffic to marketplace @stock @stock will wake up and say why didn t we buy @stock,2
@stock starting with a clean book making first buy of the yr entry @number @number stop @number @number,2
@stock cheers to the temporary solution to our economic woes entry @number @number stop @number @number,2
@stock to the gave,0
ovti ttm ending oct @number negative @number million operational cash flow @number decline vs yoy ttm ending oct @number,0
@stock and @stock should respond positively to good jobless claims numbers,2
analyst price targets and earnings targets coming down @stock what you want to see prior @stock reporting,2
@user nice color me an @stock bull as well,2
heads p @stock earnings @number @number @number ess than a week away tho the season doesn t @stock begin cranking til @number @number w @stock @stock @stock et al,2
trade idea buy wo market @number @number target @number cut below @number @number,2
trade idea buy @stock market @number @number target @number cut below @number,2
@stock looks all set to make new @stock now before or after @stock is the unknown,2
@stock trade this one long verse @numbersma,2
@stock ong @number @number trailing stop @number @number from @number prior stops of @number @number @number @number @number @number @number @number @number @number and @number @number,2
fod should see a solid move up tom system predict nice green candle,2
this is the year of fitness and health apps the winners will be gynormous and the speculation will run high nke,2
it s time to invest in @stock @stock,2
new post shorts will make dimes ongs will make dollars @stock @stock @stock p,2
nbelieveable payment trend that @stock s are chasing has easily played out in public markets @stock @stock and mastercard @stock all time highs,2
some of the watch list stocks that triggered today @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock,2
nice bull flag breakout here @stock technology software,2
my setup alerts went bonkers today one of many that got triggered cup handle breakout in @stock,2
the host with the most congrats to the cloud today @stock and @user more all time highs wow,2
@stock did @stock @stockteel just breakout @stock too,2
@stock has broken through the clear @number @number resistanc level on heavy volume could be headed much higher,2
@stock looks good for higher prices,2
apc weekly setting up long,2
i am going into this morning long @number each @stock @number call options @stock @number calls jan @numberth expiration,2
