text,label
@stock breakout watch @number @number,1
@user i hate to be under @number as average i end screw up no good for me @stock,-1
nice share @user @stock intraday short explaination,-1
@stock still looking interesting trading within an ascending triangle pattern w resistance at @number @number,1
the ticker has actually stopped on @stock,1
@stock nice set up,1
@stock trying to move over @number @number,1
@user @stock can operate with out a retail store @stock cannot big difference sears is even worse they need a retail store even more,-1
@stock big volume coming in,1
@stock big move today at resistance,1
my over @number @number or @number @number,1
can you say no brainier ong @stock stock @number @number feb collar for protection,1
@stock @numberx vol many people gonna lose their butt if there is no buyout,-1
going private is the new going public @stock,-1
bear flag from,-1
@stock mac manufactured un @stock said obama ower profit margin,-1
@stock looking for the breakout entry @number @number stop @number @number,1
aise @numbernd @number @number of @stock to @number @number,1
@stock now drinking safeway store brand columbian whole bean coffee out of @stock cup,1
@stock such a monster gap to fill not sure how anyone could fill comfortable sitting long here,-1
@stock @stock pivot range @number @number to @number @number,1
@stock to infuse rs @number @number lakh crore liquidity into financial system http,1
@stock continuation on good volume,1
@stock broke out to all time highs accompained by a strong volume suggesting higher levels,1
@number @stock could do a leveraged buy out of itself with cash on hand and low @number earnings finance if there was a bank big enough,1
@stock basing,1
@stock this is what all the others will do first red bar major short target @number test,-1
@stock short @number @number @numbersma break ideal flat trendless red spy will trade relative weakness,-1
@user @stock that double top will be taken out by the close watch and learn,1
@stock i love these bankrupt solar companies on momo pumps @stock @stock @stock,-1
@user the stock isn t telling us anything new but the trend is saying a lot this @stock is @stock s most anticipated in years,1
you are playing with fire when you are investing in something that will have three times the volatility of the @stock amp p http,1
@stock apple had @number billion in current assets and @number billion in long term marketable securities mostly probably treasury bills,-1
ed daily weekly triangle on @stock cover short net profit @number @number @number @number @number,1
owe stop in @stock to @number @number,-1
@stock trying to break hod,1
@user the @stock pipeline and the partnerships with the ni s and @stock that pretty much sums it up,1
@stock when she loses the @number day the whole market goes imo,-1
@stock still under ma@number just a few more days,-1
ove @stock @number @number calls are making me feel better about myself for not dumping @stock sooner,1
global stocks waver while oil markets are buoyed by optimism that major crude producers including russia may agree http,1
out of my aapl @numberp at @number @number for @number @numberk,1
government to borrow rs @number @number lakh crore in first half of financial year @number http,-1
@stock still sitting above key support may test further but no damage done longer term,1
@user @stock hits @number @number hedge fund margin leverage highest level since @number the question is how many hedge funds blew up today,1
@user also @stock is better @stock b c streaming movies is @number suckers the movie clarity is awful the movies skip b c int connections,1
@stock @stock drop @stock peak @stock,1
@stock pulling back for possible good entry long calls i like @stock@numberc@number at @number @number run into earnings,1
@user market only seemed to care about beating expectations which were inflated it seems @stock,1
@user @stock looks ready to move soon everyone is playing the euro close @number minutes then they will bring the cash,1
ddd nice st pennant pattern here ook for a breakout,1
@stock will add to this short position when breaks @number @number lows on volume winning trade,-1
@stock if the holders would just hold out or raise their ask here this could really pop going to climb slowly regardless,1
@user @stock autonation stoploss in @number @number after beating @number @number,1
@stock @number million shares stuck in a squeeze disinfo agents already appearing @user,1
@stock with a strong @stock an improving @stock i have a feeling that it will break higher shortly,1
@stock has potential for slightest disappoint stock could gap @number points down did it q@number earnings of @number @number per share,-1
@stock is looking super strong,1
@stock @stock @stock @stock @stock dies to reinvent blackberry @stock@number,1
@stock iphone watch like this,1
@stock over @number @number or @number @number we like these two level set ups,1
@stock moving out of long base to the upside,1
if your mortgage is federally backed lenders are supposed to allow forbearance for those experiencing a financial http,1
@stock option trader sells @numberk of the @number @number @number @number call spreads in march big bet that stock will be below @number @number by march expiry,-1
@user @stock next year right next year lol that s what they said for the last @number years ock them up put @stock in jail and be done with,-1
@stock someone needs to dig up the wizard of woz put him on @stock again he always gets the stock running bought stock yesterday,1
@stock ong @number @number trailing stop @number @number from @number stops of @number @number @number @number @number @number @number @number @number @number @number @number @number @number,1
bac fib levels,-1
@stock breaks below the triangle,-1
added to my holdings in @stock,1
@stock running @stock @stock,1
yesterday s @number day long play @stock is now up @number but can be held for an extended play if it holds @number @number,1
@stock closed @number @number called the long at @number @number biggest winner of the day @number,1
@stock good follow through to yesterday s bounce from support ideally would like volume on upside now,1
james dinsmore attributes bancroft fund s unusually strong @number to falling rates judicious use of leverage and a m http,-1
positive @stock earnings pushed nq f higher and it finally looks in sync with es f ym f @stock spy @stock,1
@stock looks ready to break downnnn short under @number short,-1
@stock breaking resistance today,1
@stock trader keeps reloading selling in @number lots in the feb @numberp @number delta option could create support or push stock up temp,1
@stock from watch list with a gap open and volume already @number of ave full day,1
@stock actually looks decent with stop under recent low and possible retest of resist line,1
berkshire hathaway s financing of occidental petroleum s anadarko deal could see it own a large chunk of the compan http,1
@stock this may be the best of the best volume slowing red bars @number of them mkt drop @number points this cliff dive for @number or more points,-1
@stock dollar general option trader buys @numberk calls betting @number @number million on up move by april,1
@stock @user softbank group abandons tender offer for up to @number billion of wework shares http via @user,-1
@stock sell short at @number @number scaling,-1
failure to complete the deal would be a blow to @stock which already has the highest debt levels among the major oil c http,-1
emerging markets have rushed to tap a flood of easy money from investors in recent years that is likely to put bon http,1
@stock possible move to @numberish,1
@stock @stock buying opp on dip back re entry i had been waiting for,1
@stock @stock beats by @number revenues up @number @numberm p @number premarket should have a nice run today after @stock remarks last night,1
@stock get ready i see a big move coming off @number triple bottom here,1
a @number @number point pullback would be reasonable after a move like that nflx,1
@user @stock thx for the party invite along for the ride,-1
investors on today s jobs number i don t think anybody s surprised that it was a terrible month we know it s go http,-1
new post shorts will make dimes ongs will make dollars @stock @stock @stock p,1
bloomberg morgan stanley s ist of companies with higher odds of a takeover offer @stock is a @stock candidate,1
virus crisis @stock chance for india to reform its economy say some experts http,1
sensex falls over @number points nifty below @number @number as markets give up early gains http,-1
@user @stock eally needs to manage expectations for its next product release no time machines rumour i lightsabre,1
@stock stop in @stock to @number @number,-1
@stock is a player in @number @stock imaging ca@stock software designs that has explosive growth paying s@stockiv in the industry @stock@stock@stock @stock @stock @stock @stockasty,1
what no how is this possible @user payroll taxes eating @stock lunch,-1
egional banks have the best trade setups out there @stock @stock @stock @stock,1
way to go @stock seems to have found support from @stock @number p trend continues guys,1
oh brother coronavirus calls split family fortunes on wall street http,-1
@stock q@number net income @number million and operational cash flow @number million q@number @number is @stock @number of @stock in q@number @number @stock was @number higher than @stock,-1
@stock appearance of a @number bullish cup and handle someone has put on a @stock,1
@stock exactly what you want to see a stock do after basing consolidating new highs,1
@user @stock highlighted major esistance areas to watch,-1
